Comment ID,Rating,Tokens Used,Content,hate_filtered,hate_severity,jailbreak_filtered,jailbreak_detected,jailbreak_severity,self_harm_filtered,self_harm_severity,sexual_filtered,sexual_severity,violence_filtered,violence_severity
41,2,121,"This isn't only an issue of preferential treatment, its a security issue!!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,1,169,"I’ve always wondered how migrants were able to enter a commercial airline while not having proper identification. I assume that some do have a valid foreign passport or normal identification card from their own government. Otherwise, how would normal foreign tourists visit various US states without driving cross country. Overall, this is an abomination.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,2,127,All a master scheme. Cheap votes. Soon they will get driver's licenses and the eligibility to vote.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,1,109,Thank a Dem,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,2,135,"Allot of Republicans the NY Post Neo cons type , just care about Ukrainians and Israel and how to sell them weapons for their wars.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,3,181,When you realize that this utterly insane policy is part of the regime's control of the people.  Read about the FBI checking Americans' searches on key words like MAGA and then checking bank records etc.  The government is coming for anyone who might cause them to lose control.  How did we allow them to take over and turn this country into a duplicate of Venezuela?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47,2,127,Where has America gone? Democrats are pure evil and the idiots who still vote for them are brain dead,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,2,211,"Born in the US 60 years ago...lost my drivers license on vacation..had to fly home....TSA WOULD NOT ACCCEPT COLOR COPY OF MY DL  that I have always kept for emergencies....at TSA Security I was told I had to go to a TSA Office to be interrogated by TSA as to birthplace, dates, home address, how long I have lived there..etc....it took 1 hour only then with a TSA paper I could get back in the security screening process...something is not right....",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,2,203,"Great, while the rest of us Americans have to provide a photo ID or Passport or have paid for TSA Pre-Check the Migrants (aka Illegal Aliens), some of whom are know to be Terrorists, hop on the plane with you and KA-BOOM, no plane, no passengers - just a lot or wringing of hands as to how this could happen??  Time for the Dems to steps up and stop buying votes and do something real about immigration policy!!!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,1,132,"Mr. President, what do you have to say about that?  Mr. President? Hello?  Pete? Anybody?",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,3,124,Federally sponsored pre-terrorism.  Who thinks this is going to end well?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,1,173,This is misinformation being published by The Post. On a trip to Los Angeles I was pick pocked and lost my ID. I was able to board my flight back to New York by security asking me a series of questions and then them verifying the answers. I learned  that technically you do not need ID to travel domestically.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53,2,130,"Biden and the democrats break the law over and over,why would anyone vote democrat if they love their country.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54,1,113,Did they get the vaccine.....?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,2,122,"The price of no more mean tweets, thank a Xiden  voter.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,2,167,"I think democrats vote with emotion rather than what is right. They vote for a candidate because their feelings were hurt by the other candidate. They could give one shit less about the country it’s their party and feelings that mean more to them. Democrats were the party of slavery, and they still are.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,1,114,And these signs are in English?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,2,181,"So as a US citizen, I had to present a passport to fly in and out of the country and I have to spend money to get their passport as one of these. They have to do nothing. They are free to fly in and out. They are free to come in here, and get food and shelter, and healthcare, and complain that that is not enough.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59,2,128,"Biden should realign his platform to ""America No More"", as that's exactly what his presidency stands for!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,2,116,"You voted Dem? You own this, TOO!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,N/A,0,"Comrades, do not worry, we are all entering the end of the Capitalist, White, Racist US & transforming into a Totalitarian Marxist Utopia where ALL are equal & no one will have to work again thanks to AI.  Rejoice!  (Or else).",True,medium,False,False,N/A,False,safe,False,safe,False,safe
62,2,170,"It isn't just the open borders that is a major problem, I think that a much more critical issue is how many terrorists are mixing in with these migrants and entering our country? I am all for immigrants to come in but lets do it the right way. It doesn't make any sense. Something is terribly wrong here.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63,2,126,This fiasco will go onuntil some nut with fake ID commits a crime in an airplane or airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,2,128,"Biden should realign his platform to ""America No More"", as that's exactly what his presidency stands for!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,2,116,"You voted Dem? You own this, TOO!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66,N/A,0,"Comrades, do not worry, we are all entering the end of the Capitalist, White, Racist US & transforming into a Totalitarian Marxist Utopia where ALL are equal & no one will have to work again thanks to AI.  Rejoice!  (Or else).",True,medium,False,False,N/A,False,safe,False,safe,False,safe
67,2,170,"It isn't just the open borders that is a major problem, I think that a much more critical issue is how many terrorists are mixing in with these migrants and entering our country? I am all for immigrants to come in but lets do it the right way. It doesn't make any sense. Something is terribly wrong here.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68,3,126,This fiasco will go onuntil some nut with fake ID commits a crime in an airplane or airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69,2,154,"Americans are being abused by their own government  this is a joke.  we were fired, for not getting a shot, isolated, confine over taxed meanwhile illegal aliens come here get everything we Americans offer  democrats are un American",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70,2,133,You better WAKE UP USA citizens BEFORE ITS TOO LATE!!!TRUMP 2024 is our last chat.WAKE UP!!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71,2,123,I suggest we look into the 5 dancing Israelis a little more than we did.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72,1,114,Sound airline saftey at work.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
73,3,123,"You try and board a plan without an ID, lets see how that turns out.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
74,5,166,"So next time I’m flying, I’m going to just walk onto a flight without showing IDEven though I’m a US citizen, maybe I will put a hi-jab on an identify as a woman.You can read about me on the front page of the New York Post when I get arrested",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,N/A,0,Give them a special plane. Illegals only with no ID. No questions asked. Then when the plane is full fly it back over the border and drop them off. Return the plane empty and repeat until mission is accomplished.,True,high,False,False,N/A,False,safe,False,safe,True,high
76,2,130,They all get free phones. I know because 90% of our incoming calls dont speak english.  NY is done,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,3,125,"Fear not America,Joe has designated those folks there with no identity as :""Your Replacements""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,2,112,Sue the airlines for allowing this,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
79,2,172,"This is what happens when you sit on your hands and allow corruption to prevail. When it’s easier to take a handout than to stand up and work to do what is right, this is what you will get. And it’s only going to get worse until people make the decision to take responsibility for their own lives.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
80,N/A,0,l-o-a-t-h-e i-l-l-e-g-a-l a-l-i-e-n-s,False,safe,True,True,N/A,False,safe,False,safe,False,safe
81,3,114,Destroying Everything thatMakes Sense.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
82,2,180,"Until we fix the election laws, America will continue to decline. Do you see drugs and fentanyl in China?  Do you see unvetted men of fighting age coming into a wide open China? Did you know China schools are not woke? Do you see China involved in numerous wars?  Instead you the Biden crime family and his incompetent administration destroy America.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83,2,116,81 million votes! This is what you get,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84,N/A,0,"What's the problem with weakling Americans not protesting this. Every day you're abused more and more and more.Why wait until the Gov't takes your home to house them because you're white,Believe that's next on the advocacy agenda",True,medium,False,False,N/A,False,safe,False,safe,False,safe
85,2,119,The outrage isn’t over the sign it’s over the action!!!!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
86,2,119,When you don’t have a leader every thing becomes a chaos.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,2,141,The government is an elected democracy. The job of all politicians is to represent the people . They are doing what they want . Not what the people want . VOTE TRUMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
88,1,134,I think I'm just gonna become an illegal alien.It's so much easier to travel that way.Being an American citizen is too cumbersome.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89,2,116,81 million votes! This is what you get,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90,N/A,0,"What's the problem with weakling Americans not protesting this. Every day you're abused more and more and more.Why wait until the Gov't takes your home to house them because you're white,Believe that's next on the advocacy agenda",True,medium,False,False,N/A,False,safe,False,safe,False,safe
91,2,119,The outrage isn’t over the sign it’s over the action!!!!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
92,2,119,When you don’t have a leader every thing becomes a chaos.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93,2,141,The government is an elected democracy. The job of all politicians is to represent the people . They are doing what they want . Not what the people want . VOTE TRUMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94,1,134,I think I'm just gonna become an illegal alien.It's so much easier to travel that way.Being an American citizen is too cumbersome.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
95,2,190,"Democrats have absolutely zero grounds to complain when Trump is re-elected. You reap what you sow and if this is the America that you are trying to build, expect push back. Trump will win and the democrats and their policies are the reason why.  Spare me the feigned outrage come November.  The winds of change are coming and it falls directly into the lap of the democrats in charge.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
96,1,118,Are there any advantages of being an American Citizen anymore?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
97,N/A,0,"If I were any adversary of the United States, I would just send a ton of young men in their 20s, who can eventually rise up and cause mass destruction within the United States. Can’t wait for all the terrorist attacks!",True,high,False,False,N/A,False,safe,False,safe,True,medium
98,2,173,TAXPAYERS MONEY TAXPAYERS MONEY.   ITS DISGUSTING.    TGIS IS WHY WE NEED TO VOTE FOR TRUMP AND DISANTIS!!!!!!!!!   They getting everything for freeeeeeeeee.  Democrats are only doing this to win elections and votesssss.   Who is there to protect Americans,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
99,1,118,"I now hereby self-identify as a ""Migrant"".",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100,2,219,"Yep, I was in Tucson recently, saw it plain as day.A 1/3 of my flight from Tucson to Houston was jammed w/migrants (how do I know, you say: the gate agent had to corral per these folks in French & Spanish for check-in as they were crowding the entrance per boarding groups).I have every confidence none of them had the resources to cover the $350 fare, as well. So not only did they fly without identification required of the rest of us, they got a free ride.FJB.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101,2,133,9-11 has taught us nothing. Putting public safety at risk is worth it to make  illegal immigrants feel at home. Shambles,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,2,124,"Return the Tacos and Watermelons to sender ,they are NOT welcome or wanted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
103,1,115,Reason Numero uno to vote for Donald Trump.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,4,117,"Mayorkas and Biden are Terrorists , FACT",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105,1,116,"If you voted for this, stop complaining.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
106,2,108,FJB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
107,2,120,"""America First"" ain't lookin so bad now..is it.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108,4,161,"The decline of the US continues under democrat rule. If the laws we enacted get in our way, or a court rules we cannot do something, just ignore it. We own the justice dept., and we own the media, so no one will ask us about it.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
109,2,124,and still some brainwashed people will find an excuse to vote for this shambles.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
110,2,175,"So criminals are now allowed on planes with no identification. Only recourse is to sue the airline when things go wrong. If I were an airline, I would institute an ID policy immediately as I wouldn't want to be on the hook for the lawsuits to come. The airline insurance costs will go too high they will be put out of business.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111,2,145,So what is the end game here...are those decision makers looking forInternal beliefs that there are no bordersSpecific political party votersCheap workersContinued pay offsAbility to balloon government size/oversight,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
112,1,120,Good thing Air Marshalls have been reassigned for border processing.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
113,2,126,Yeah you haven’t s haven’t seen anything yet. Wait until they can vote multiple times without ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114,1,175,"So criminals are now allowed on planes with no identification. Only recourse is to sue the airline when things go wrong. If I were an airline, I would institute an ID policy immediately as I wouldn't want to be on the hook for the lawsuits to come. The airline insurance costs will go too high they will be put out of business.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
115,2,145,So what is the end game here...are those decision makers looking forInternal beliefs that there are no bordersSpecific political party votersCheap workersContinued pay offsAbility to balloon government size/oversight,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,2,120,Good thing Air Marshalls have been reassigned for border processing.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
117,2,126,Yeah you haven’t s haven’t seen anything yet. Wait until they can vote multiple times without ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
118,2,118,Well Atleast the sign is in English and therefore useless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
119,3,277,"Thank you traitor Joe Biden for never putting America first. Remember folks, the movies and Disney trips support Jeffrey Katzenberg Biden's number one source for funding the Democrats. Katzenberg has given 3 million to Democrats the last few years and 7K to all other candidates. Every time you go to the movies, or visit Disney, Katzenberg the Billionaire gets a piece of your fee. He made sure Michael Eisner returned to Disney and was paid 40 million this years to help fund Joe Biden. We the American people need to close down Disney once and for all. It is a hotbed for Sodom and Gamora. Short Disney stock, make sure it is not in your portfolio, and anyone you know. We must root out evil everywhere to change this country. I don't even have Netflix, that's how much I hate Hollywood.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
120,2,131,"Our country has bent over backwards, forwards and sideways just to pacify and accomodate these criminal illegals...smh.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
121,2,119,these must be the illegal aliens they're shipping up north to sanctuary states,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
122,2,112,"but, but, abortion!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
123,3,113,Americans.You better wake up..,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
124,2,114,When your government breaks its own laws.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
125,2,332,"My husband is 82 years old.  He served 38 years in the National Guard and held a full time job.  Whenever we fly he sets off the machines because he had two hip replacements.  He is pulled aside, along with other elderly men, and damn near strip searched.  A stranger’s hands run up and down his legs up to his crotch, and he’s even been asked to unzip and open his pants!  In Hawaii, flying from one island to another, his bare feet were wanded, and he asked the tsa agent if he felt like a fool doing this to him.  As all this is going on, I’m trying to gather items from two bins and then stand aside waiting for my husband to be freed from the indignity. And to see unvetted foreigners who contributed absolutely nothing to our country get on a plane on our dime without having to undergo these searches is galling!  Diseases we haven’t seen in decades are reappearing.  Our hospitals are turning away Americans in favor of illegals, and many hospitals have shuttered..  Veterans and elderly have been tossed out of homes.  Crime has increased as foreigners prey on Americans.  I will NEVER vote for another democrat.  They have endangered our people and country while using our money to pay for these lawbreakers as Americans struggle to feed their own and keep a roof over their heads.  And the final indignity - the body searches while foreigners fly free.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
126,2,167,"What?! I had to upgrade to a STAR card to be able to fly because my regular driver license wasn't enough! They basically required a whole chain of title for my life - birth certificate,  marriage license,  divorce papers,  remarriage papers... just to fly! This is biased and insane!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
127,3,140,What’s Biden gonna say to the families when one takes down a plane?  Don’t think our enemies have already got the pieces in place for such an event?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
128,2,126,Biden’s new America! The illegals he lets in get a ballot and executive privilege!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
129,2,148,"We, the People and Citizens should all be totally outraged. All of us, in favor of Illegals have been put on the back burner of everything, and we are paying for it all.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
130,2,135,"Whoever made this decision should be fired immediately! Pete Buttigieg do your job! Joe Biden, do your job! Dangerous situation here!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
131,2,179,"I love to fly and have not seen these signs. I would be irate that an undocumented person was allowed to board, unchecked as to why they are flying. Sleepy Joe has ruined most aspects of safety in this country by trying to flood Democrat voting pols with unregistered illegal immigrants. Wake up America. Starting with Obama we have been led to disaster.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
