Comment ID,Rating,Tokens Used,Content,Error Message,,
12,N/A,0,Governor Abbott just authorized Texas authorities to arrest and deport invaders. That sounds like a lot of work. I'd be fine with just shooting them before they get completely over the border. Corpses of invaders would discourage other would be invaders.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'high'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
13,2,113,The dumpster fires continue inside America,N/A,,
14,2,168,"Merrick Garland is the worst AG in the history of the DOJ. No wonder he was blocked from SCOTUS. He makes up rules as he goes along, is radical ideologue and constantly violates the law.  The Republicans need to have him criminally charged once they take control of the WH.",N/A,,
15,2,128,Gymie is worried he is the next one to be indicted by Smith for his role in the insurrection.,N/A,,
16,1,130,Jim Jordan reminds me of that white enamel pail/bed pan that my great grandmother used to keep underneath her bed.,N/A,,
17,1,110,SkumGarlan,N/A,,
18,1,110,Hooked snoz,N/A,,
19,3,126,US government is dirty!FBICIAUS SenateUS COngressUS AG -- all AGs,N/A,,
20,2,132,"So basically, the branches of the government are at war with each other. 2024 is going to be a spicy year!",N/A,,
21,2,112,Go get him Jimmie,N/A,,
22,2,115,Poor Gym. I'm gonna have to hurt him,N/A,,
23,2,154,"Too bad they didn't gather the records of that one senate staffer.  Then, we might find out who the other participant was.  Since they worked for a D, all we will get is move on, nothing to see here.",N/A,,
24,2,147,"I would hope the DOJ had probable cause to subpoena the phone and e-mail records of the staffer.  However, with the manner in which the DOJ conducts itself, I’m not holding my breath…",N/A,,
25,2,164,"The AG in 2017 was either Jeff Sessions or Rod Rosenstein.  If I had to guess, the guy behind this was Rosenstein.  I don't expect Garland to shed much light on this situation, just as the CIA has never answered for spying on Senator Feinstein.",N/A,,
26,3,160,"Dictatorship under democratic rule? I can't help but feel like I'm not living in the United States, but rather in countries like Russia, China, Venezuela, or Cuba. I yearn to take back my country from the corrupt puppets controlled by the Democrats.",N/A,,
27,3,148,Garland is a communist who has threatened anyone who voices an opinion against him or his government of Israel and then America. We are not allowed to voice opinions. You can go to jail for that now.,N/A,,
28,3,152,Big deal. He plays plausibility deniability as well as anyone. He will stonewall. Congress needs to change these laws the alphabets hide behind. They have a better cloaking capability than the Klingon warbird,N/A,,
29,1,121,Jordan is just having more fun than any one member of Congress should have.,N/A,,
30,2,127,"Spy on Congress, a big investigation. Spy on the US citizens, who give a flying flock !",N/A,,
31,2,112,DOJ out of contro,,N/A,
32,2,118,"But, but....Biden says he's doing everything possible!!!!",N/A,,
33,2,121,Merrick Garland is the worst AG ever. What do you expect?,N/A,,
34,2,160,"One indisputable fact, Merrick Garland is a Democrat party hack that even assist Woke & D.E.I through his daughter and son in-laws  D.E.I. educational company making millions of dollars from public schools.  Wray's graft needs to be exposed.",N/A,,
35,1,123,Grandstanding again.  Jim Jordan has been getting a lot of media time lately.,N/A,,
36,1,109,What a joke,N/A,,
37,1,162,"Never forget who Jim Jordan is. Former Ohio State University wrestlers have for decades,  accused Rep. Jim Jordan of failing to protect them from the team doctor sexual predator when he was the team’s assistant coach in the 1980s and '90s.Keep it moving",N/A,,
38,2,130,"Jim, who ignored Congressional subpoenas is to be ignored. You can’t have your cake and eat it too.",N/A,,
39,2,167,"He cited media reports to back up his accusation? The same media that he and his leader say  is inaccurate, communist and an enemy of the people? Interesting. And he subpoenaed Garland? Why doesn’t he respect the two subpoenas he was served by the J6 committee? Hypocrite.",N/A,,
40,4,119,I say let's look at a civil war deal with the fallout later,N/A,,
41,2,122,He’s so corrupt he’ll take your son or daughter to jail for nothing,N/A,,
42,1,109,Garfinkel,N/A,,
43,1,108,Very good,N/A,,
44,1,122,Gym Jordan slapping someone with a subpeona 😂😂😂😂😂😂,N/A,,
45,2,123,"What's in America's best interests? Spy on gop congressman, or mosques?",N/A,,
46,1,120,Jim Jordan is a hypocrite as far as subpoena is concerned.,N/A,,
47,2,127,Feinstein did employ a chinese spy for 20 years so ill give them a pass on that one,N/A,,
48,1,122,Gym Jordan slapping someone with a subpeona 😂😂😂😂😂😂,N/A,,
49,2,123,"What's in America's best interests? Spy on gop congressman, or mosques?",N/A,,
50,1,120,Jim Jordan is a hypocrite as far as subpoena is concerned.,N/A,,
51,2,127,Feinstein did employ a chinese spy for 20 years so ill give them a pass on that one,N/A,,
52,1,113,Jordan has some nerve issuing supoen,N/A,,
53,2,126,"Shouldn’t this clown be trying to work out a border plan, truly a do nothing congressman",N/A,,
54,4,114,This is the real insurrection.,N/A,,
55,1,160,This guy was big into crotch sniffing singlets back at that university he worked at. Also big into letting his colleagues over there abuse the students but he’s to confidently angry and defiant to ever come clean about it… Guilt all over his face.,N/A,,
56,1,131,Wait..Jim (I ignored a subpoena) Jordon..is issuing a subpoena..seriously Gym have you no shame.,N/A,,
57,3,115,Strongly worded letter! Big action!,N/A,,
58,2,126,Grab your popcorn. This should be a real show. Why would the DOJ be spying on Congress?,N/A,,
59,2,142,"Funny thing is, everything Democrats feared Trump would do when he was elected, is now being done by the current administration!  Even Liberals should be disgusted with this crap.",N/A,,
60,1,121,Jim Jordan a leader of the least productive Congress in history You go Gym,N/A,,
61,2,161,Pervert-enabler Gym Jordan should have his subpoenas treated with the same contempt as he treated the subpoena he was issued to testify about his part in the treason of Jan 6.Maybe he'll get a jacket for Xmas.Such a hypocrite and Trump Chump.,N/A,,
62,1,124,"Question?  Is it possible to get a ""refund"" from a Cartel member???",N/A,,
63,2,238,"Once Biden embarrasses the DNC from President Trump’s landslide reelection they will abandon him, his family, and co-conspirators like Merrick Garfinkel. If FJB is curious about what his retirement will look like, all he has to do is look at President Trump’s last 3 years. The difference, however, is that Biden doesn’t have the wealth to defend himself and all those sources for influence and bribe money will immediately dry up. Hunter, Ashley and Jill will be unprotected because they have been a constant embarrassment and a contributing factor in Biden’s downfall. Many people worldwide will enjoy watching all of this unravel.",N/A,,
64,1,131,The ad sounds good what matters is the delivery down to a parking ticket! serious scrutiny matters greatly! No more musical chairs!,N/A,,
65,1,137,"Mitch McConnell refused to consider Garland's nomination, holding ""no hearings, no votes, no action whatsoever"" ...the best thing Mitch ever did!",N/A,,
66,2,127,"Republican hypocrisy and shamelessness are bottomless @ ""Gym"" I ignore subpoenas, Jordan.",N/A,,
67,2,159,Like a former US Attorney EH of the President ( 2008 - 2016 ) this U.S. Atty will probably ignore the subpoena. And ya know what?  Nothing will happen. NOTHING.  ( it's written too avoid deleeshen ),N/A,,
68,2,131,"Subpoena the janitors, too. Bunch of beer, baseball and Roseanne Barr hating dweebs.",N/A,,
69,3,134,And yet they still keep reauthorizing FISA and never feel in the corrupt agencies. Time to starve the corrupt agencies of funding.,N/A,,
70,2,161,So how does this work?  Jordon gets damning evidence against AG Garland.  Jordon writes a report and criminal referral and sends it to Merrick Garland.  Then Garland refers it to Special Counsel who was his college roomate and Godfather to his son.,N/A,,
71,2,164,"Jordan served a subpoena on Hunter Biden and Biden ignored it and has yet to be charged.So what do you think Merrick Garland will do with Jim Jordan's  subpoena?This administration completely ignores all laws.America has the ""Criminals are in charge of the American Justice System!""",N/A,,
72,3,135,"Bellevue is waiting for Joran, and Vance, and the current speaker, who is a White christian nationalist AKA American Talibn.",N/A,,
73,2,134,And yet they still keep reauthorizing FISA and never feel in the corrupt agencies. Time to starve the corrupt agencies of funding.,N/A,,
74,1,161,So how does this work?  Jordon gets damning evidence against AG Garland.  Jordon writes a report and criminal referral and sends it to Merrick Garland.  Then Garland refers it to Special Counsel who was his college roomate and Godfather to his son.,N/A,,
75,2,164,"Jordan served a subpoena on Hunter Biden and Biden ignored it and has yet to be charged.So what do you think Merrick Garland will do with Jim Jordan's  subpoena?This administration completely ignores all laws.America has the ""Criminals are in charge of the American Justice System!""",N/A,,
76,3,135,"Bellevue is waiting for Joran, and Vance, and the current speaker, who is a White christian nationalist AKA American Talibn.",N/A,,
77,N/A,0,"Jordan and Garland should meet in a wrestling match. It would be great to see the little, vengeful Garland be pinned to the mat.","'content_filter_result': {'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",,
78,1,124,"Gym issuing subpoenas is pretty rich, considering that he ignores them when he gets served.",N/A,,
79,1,117,"Who cares, Absolutely Nobody but Ding Dons.",N/A,,
80,2,116,The Ding Dons are going ballistic tonight 🤠,N/A,,
81,1,226,"Don't Hold Your Breath!!!!!Garland and Weiss have already testified on full authority to charge Hunter Biden and then it was discovered Garland had AG who denied Weiss to charge in their territory.JokeSo--Garland will be like Lisa Wolf Assistant Attorney who interfered Hunter Biden investigation and she refused multiple questions avoiding answering.Same tactic Garland will use.......but there is history of collusion between AGs with anything named Biden.........and in the end everyone with Biden sludge on their name will get a pardon even Garland, Weiss, Wolf, Hunter and all Biden's.  Sloppy Joe will even pardon himself.",N/A,,
82,2,154,So a vote for Trump will make him King of the USA willing to do Putin's bidding because of the pee pee tape he has on him Great character Best Grifter in the world.But don't worry or hold your breath he's going to jail,N/A,,
83,2,123,"Quick Gym, hide those Russian wrestling MAGAzines you spend hours gazing at.",N/A,,
84,2,175,"Joe B brought back “decency” to the White House, SURE he did! Remember guys having sex in the revered Senate hearing room, cocaine in the West Wing, the Easter topless wo/man in the Rose Garden, Jill’s Christmas Satan show.    Decency?  Really?  Make America Decent and Great Again!",N/A,,
85,2,291,"Jordan and the Impeachment inquiry committees have a better response to Garland. At this moment Hunter Biden is in the White House. Since the House now has passed authorization of the impeachment Inquiry investigation, issue new subpoenas for Hunter Biden and his bank records and any other documents that they want in Hunter Biden or Joe Biden’s possession. Present those subpoenas publicly first to Hunter Biden, demanding that Biden present Hunter, who’s in the White House, to publicly accept Congress’ subpoena, requiring that Hunter appear before Congress. Give copies to the White House’s Counsel’s office publicly demanding, that President of the United States Joesph R. Biden, enforce United States law and publicly require that his son obey the House subpoena. Failure to comply with that legal request by the House Impeachment Inquiry Committees would result in the passage of House voting Hunter Biden with contempt of Congress and Joe Biden with the impeachable offense of obstruction of Congress and failure to protect the Constitution of the United States. That would either force Hunter to plead the 5th, and in Hunter’s and Biden’s case drink a 5th, or testify in deposition in front of the legal staffs of the impeachment Inquiry Committees. Garland would have no choice but to enforce that Contempt of Congress resolution or to resign. Jordan would put the whole American Federal Justice system on Trial.",N/A,,
86,2,189,“The DOJ had subpoenaed the internet conglomerate in 2017 for that staffer’s email and phone records.”What I don’t understand is this happened in 2017 when Jeff Sessions was AG.   Why wouldn’t they subpoena him? This also goes to show that the DOJ has been rogue for years.  If Trump does win next year I hope he has the authority to completely gut the DOJ.,N/A,,
87,1,118,Garland will be indicted.Hunter will testify against him.,N/A,,
88,2,143,Meanhile-----the Fed's already have all the Congressional Phone----Text & E-mail records & already know everything. Anyone who Participated in 1/6------is Toast.,N/A,,
89,2,115,Perjury comes easy to Merrick Garland.,N/A,,
90,3,192,"The apparent breach of separation of powers, of the three branches of government was made, and made without concern for the constitutionally mandated separation. It was also not for legal purposes, but to secure information. Merrick Garland will not escape ""unscathed"", after the administrative transition, coming in January 2025 !How much of the DOJ, and FBI, will remain free of charges of sedition, or other fraud ?",N/A,,
91,4,139,Merrick Garland hates the USA. Hates Catholics. His loyalties are to his Jewish roots - background and not to America. It all fits together perfectly.,N/A,,
92,1,121,Jim Jordan should mail a subpoena to himself.  What a joke.,N/A,,
93,2,126,"Lady Luck was on the side of USA , in not Making this corrupt Creature a Supreme Court Justice",N/A,,
94,1,125,May as well subpoena a potato for all the actual honest answers the committee will get from Garland.,N/A,,
95,1,126,Gym Jordan's been ducking a subpoena for over three years.Hypocrites gonna hypocrite.,N/A,,
96,2,130,"squabbling, in-fighting and bickering..all do-nothing lip service...CLOSE THE BORDER",N/A,,
97,1,128,This is Christmas Crapola a present to the country form a man with enough hot air to heat Alaska.,N/A,,
98,1,128,This is Christmas Crapola a present to the country form a man with enough hot air to heat Alaska.,N/A,,
99,2,142,The Democrats will stop at nothing to stay in power. A large part of that is keeping their nasty deeds hidden. Imagine if Hillary had won. It all would have been buried.,N/A,,
100,1,119,It must be nice to get paid for doing absolutely nothing!!!,N/A,,
101,2,182,The biden admin has certainly not fallen short of being the worst that they can be.They stoop low and abuse the laws.One hopes that some dems see the error of voting for a Bernie proxy in biden.  Of course true regressives only dislike biden for not being far enough left.  These anarchists would vote for Che Guevara if he was available.,N/A,,
102,2,200,"All the  republicans  do is waste tax payers money to get revenge on the Dems like a hurtful high school girl that got dumped by their boyfriends. They haven’t done anything useful, like fix the border issues and the economy like they’ve been crying about. Gym Jordan is not even popular in his own party, that’s why he got booted out and cant even get enough votes for Speaker haha. What a Chimpanzee…",N/A,,
103,2,138,"DOJ agencies actually require their employees to lie to congress and will actually fire them for refusing to lie to Congress, and it has been going on for years.",N/A,,
104,1,121,The same Jim Jordan who had a subpoena issued to him & ignored it!,N/A,,
105,2,112,Where has my America gone?,N/A,,
106,N/A,0,"We already know the republican treasonous cult has been trying to overthrow our democracy for a fascist theocracy, so Garland needs to be watching these treasonous piles of human waste.","'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",,
107,1,123,"If this is true Galand,  you really stepped on your ding-dong.",N/A,,
108,1,137,So you do realize this happened BEFORE Merick Garland was in charge. Jeff Sessions was the Attorney General who did this. trump was the president at the time,N/A,,
109,2,127,"Good time for a stupid conservative idea ""If you've got nothing to hide you have nothing to worry about!""",N/A,,
110,2,130,MORE RIGHTWING DISINFORMATIONMerrick Garland was NOT Attorney General in 2017 when this supposedly happened!,N/A,,
111,1,135,LOLZ!Wouldn't it make MORE sense to subpoena Bill Barr-- since he was Attorney-General at the time this supposedly happened (2017)?,N/A,,
112,1,129,"Merrick Garland is, without question, the smartest and bravest AG the U.S. has ever had!!!",N/A,,
113,2,123,Gym Jordan doesn’t think people (him) have to abide by congressional subpoenas,N/A,,
114,2,122,Why bother all of them plead the fifth or say it is under investigation.,N/A,,
115,2,123,Gym Jordan doesn’t think people (him) have to abide by congressional subpoenas,N/A,,
116,2,122,Why bother all of them plead the fifth or say it is under investigation.,N/A,,
117,2,113,The dumpster fires continue inside America,N/A,,
118,2,168,"Merrick Garland is the worst AG in the history of the DOJ. No wonder he was blocked from SCOTUS. He makes up rules as he goes along, is radical ideologue and constantly violates the law.  The Republicans need to have him criminally charged once they take control of the WH.",N/A,,
119,2,128,Gymie is worried he is the next one to be indicted by Smith for his role in the insurrection.,N/A,,
120,1,130,Jim Jordan reminds me of that white enamel pail/bed pan that my great grandmother used to keep underneath her bed.,N/A,,
121,1,110,SkumGarlan,N/A,,
122,1,110,Hooked snoz,N/A,,
123,2,126,US government is dirty!FBICIAUS SenateUS COngressUS AG -- all AGs,N/A,,
124,2,132,"So basically, the branches of the government are at war with each other. 2024 is going to be a spicy year!",N/A,,
125,2,112,Go get him Jimmie,N/A,,
126,1,108,Poor Gym,N/A,,
127,2,154,"Too bad they didn't gather the records of that one senate staffer.  Then, we might find out who the other participant was.  Since they worked for a D, all we will get is move on, nothing to see here.",N/A,,
128,2,147,"I would hope the DOJ had probable cause to subpoena the phone and e-mail records of the staffer.  However, with the manner in which the DOJ conducts itself, I’m not holding my breath…",N/A,,
129,2,164,"The AG in 2017 was either Jeff Sessions or Rod Rosenstein.  If I had to guess, the guy behind this was Rosenstein.  I don't expect Garland to shed much light on this situation, just as the CIA has never answered for spying on Senator Feinstein.",N/A,,
130,3,160,"Dictatorship under democratic rule? I can't help but feel like I'm not living in the United States, but rather in countries like Russia, China, Venezuela, or Cuba. I yearn to take back my country from the corrupt puppets controlled by the Democrats.",N/A,,
131,2,148,Garland is a communist who has threatened anyone who voices an opinion against him or his government of Israel and then America. We are not allowed to voice opinions. You can go to jail for that now.,N/A,,
132,2,152,Big deal. He plays plausibility deniability as well as anyone. He will stonewall. Congress needs to change these laws the alphabets hide behind. They have a better cloaking capability than the Klingon warbird,N/A,,
133,1,121,Jordan is just having more fun than any one member of Congress should have.,N/A,,
134,3,127,"Spy on Congress, a big investigation. Spy on the US citizens, who give a flying flock !",N/A,,
135,1,129,"Jim Jordan is a super goober, and wildly inconsistent when it comes to honoring subpoenas. Laughable.",N/A,,
136,2,112,DOJ out of contro,,N/A,
137,2,121,Merrick Garland is the worst AG ever. What do you expect?,N/A,,
138,2,160,"One indisputable fact, Merrick Garland is a Democrat party hack that even assist Woke & D.E.I through his daughter and son in-laws  D.E.I. educational company making millions of dollars from public schools.  Wray's graft needs to be exposed.",N/A,,
139,1,123,Grandstanding again.  Jim Jordan has been getting a lot of media time lately.,N/A,,
140,1,109,What a joke,N/A,,
141,1,162,"Never forget who Jim Jordan is. Former Ohio State University wrestlers have for decades,  accused Rep. Jim Jordan of failing to protect them from the team doctor sexual predator when he was the team’s assistant coach in the 1980s and '90s.Keep it moving",N/A,,
142,2,144,"Lets make it simple: Biden should be impeached for his complete disregard for the safety and protection of American Citizens, and his total contempt of our Constitution! He is a complete lawbreaker!",N/A,,
143,1,125,Duh.  Anyone with a lick of common sense knows this is for future votes.,N/A,,
144,N/A,0,No - bungling Biden wants to ensure more cheating votes - because the (non-liberal) citizens of this country won't vote for his incompetent posterior.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
145,2,172,Of course he does.  This has been the game plan for years - even if it takes 50 years - when they have enough power and control of the govt - Dems will push and pass amnesty and thus tens of millions on new votes.  And they will wait another 50 years if they have to.,N/A,,
146,N/A,0,Senile Joe is at it again at least he is perfect in destroying our country. All I want for Christmas is for the Biden family to be deported.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
147,2,117,Mass deportation starts In a little over a year..,N/A,,
148,N/A,0,I want Biden to buy every one of these illegal aliens a ticket straight out of our country. NOOOO amnesty of any sort. All of them right over the border and goodbye.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
149,3,111,The real insurrection.,N/A,,
150,N/A,0,Mass country packing to be followed by packing the voting rolls with illegal invader 'ballots'.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'high'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
151,2,118,Biden should be arrested for not enforcing the law.,N/A,,
152,2,118,Biden should be arrested for not enforcing the law.,N/A,,
153,4,132,"Biden should be prosecuted as a Domestic Terrorist,  controlled and owned by foreign countries, who want to see America's downfall .",N/A,,
154,1,148,"This headline is totally misleading and totally incorrect. Hispanics in States like Texas, Florida, Arizona and in pockets of all other States predominantly do vote for the Republican party. And those Asians vote the same way.",N/A,,
155,3,109,It's time.,N/A,,
156,2,113,Maybe biggest crime in US history.,N/A,,
157,2,111,Impeach Biden.,N/A,,
158,5,147,"Writers reveal their biases when they refer to these criminals as ""migrants"". Birds migrate. These creatures invade. And as President Trump said so accurately last week they poison the blood of this Nation.",N/A,,
159,2,128,"While campaigning for the presidency, he and many other candidates said they were  going to open the borders.",N/A,,
160,3,119,I think it’s time to indict Biden for treason.,N/A,,
161,2,153,Lets just hope the Democrats won't succeed in cheating their way to victory this time around and Trump starts rounding up anyone here illegally for a mass deportation. They can then sit in Mexico and siesta as they wait for their asylum hearing.,N/A,,
162,2,117,He wants a new constituency that votes only Dems.,N/A,,
163,3,126,A President that doesn’t protect the borders and protect the American people is a treasonous act.,N/A,,
164,2,144,Please. He knows the fix is in. Why do you think he does nothing? He knows it doesn't matter what he does. Why bother to try when you know your job is secure?,N/A,,
165,N/A,0,To all American black women:  a vote for Biden is a vote for your extinction. You are being replaced. Just look around - and wake up!  IMO.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
166,2,122,Does what's in the best interest of Americans ever enter in to this fiasco?,N/A,,
167,4,156,Deliberately overwhelming our system as they torpedo toward their goal of bringing our beloved country to her knees. It's no holds barred for the installed regime. They've got all their bases covered and they can break our laws as much as they want.,N/A,,
168,3,125,"Time to move to South America, widen the Panama Canal so they can’t cross back.",N/A,,
169,2,161,We have one more year of this insanity until the end of the Dems for decades.The American people have seen the destruction they have brought which is proven in all the polls.  This is worse than the Carter years and they lost control for 12 years after Carter lost.,N/A,,
170,2,164,"So when did the NY post start using bots in not allowing 1st amendment rights like fb, twit (from before)….that being freedom of speech?Bought and paid for…but by whom? Let’s see how long this post lasts….if it’s allowed to be posted",N/A,,
171,1,109,Test of censor,N/A,,
172,2,124,No doubt. Obama’s plan. Why is this article buried WAYYY down the page?,N/A,,
173,N/A,0,Highest penalty for Treason is Death/Execution.💀,"'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",,
174,2,133,"Biden is the worst present in history. He and his administration have destroyed the country, they should be imprisoned for treason.",N/A,,
175,2,179,"Why is this even issue??? Biden has had 3 years to deal with this, and now he's thrown it right into Trumps lap, along with the 2024 election. He's pussyfooted around so long, that now he has to close the border. Before, all he had to do is what a border does - stop people form getting in.",N/A,,
176,1,133,Eventually they be able to vote long range plan who you think they vote for democratic more then likely helping himself and democrats in long run,N/A,,
177,N/A,0,Highest penalty for Treason is Death/Execution.💀,"'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",,
178,2,133,"Biden is the worst present in history. He and his administration have destroyed the country, they should be imprisoned for treason.",N/A,,
179,2,179,"Why is this even issue??? Biden has had 3 years to deal with this, and now he's thrown it right into Trumps lap, along with the 2024 election. He's pussyfooted around so long, that now he has to close the border. Before, all he had to do is what a border does - stop people form getting in.",N/A,,
180,2,133,Eventually they be able to vote long range plan who you think they vote for democratic more then likely helping himself and democrats in long run,N/A,,
181,1,137,nonsense — the number of “muh illegals” hasnt budged much year over year for decades. dont be duped by murdoch.,N/A,,
182,2,165,"This administration is breaking every law in existence from incarcerating people without due process to not enforcing Title 8 of the CFR.  All with the blessing of this Republican controlled House of Representatives...who obviously are supporting all of their positions as they do nothing the challenge them.    Its over, sigh",N/A,,
183,4,238,"""The only way to make this system work is to limit the number of new aliens entering illegally, and the only way to curb illegal entries is detention""Baloney.  Militarize the border.  Put out the word that anyone caught entering will be kicked out immediately and that the only way to apply for asylum is from the other side of the border.  Repeatedly tell them they will not be fed or cared for nor given free transportation to anyplace they want to go and make that stick.These are the laws that the Biden regime is not following.  There are legal and sane ways to handle immigration.  This is both about power and $$$.",N/A,,
184,2,136,8 out of 10 illegals are gonna cause problems…but 10 illegals are 4 Democrat votes…Biden doesn’t see the issue…,N/A,,
185,2,114,This is what a dictatorship looks like.,N/A,,
186,2,111,This is treason.,N/A,,
187,2,157,"so the only response is to elect a president who will shut the border until the backlog has been removed.  Eisenhower managed to deport, it can be done again.  or is the american electorate to far gone, the country too balkanized?",N/A,,
188,4,127,"To borrow a phrase from Col. Sam Flagg: just one bullet, one shot. That's all.",N/A,,
189,2,133,"He took an oath to protect this country against all enemies ,foreign and domestic hence he is ,without doubt, guilty of treason.",N/A,,
190,3,116,Tag  'em & Bag 'em 24,N/A,,
191,4,121,President Trump will round them up in November 2024.Thank you.,N/A,,
192,2,128,patienyl waiting for the day that Biden is completely finished. Tht man is destroying this country.,N/A,,
193,N/A,0,President Biden said many times he wants white people to be minority and eventually to cease to exist.,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}}}",,
194,4,128,Tucker was right. Biden has traitors in his cabinet who want to get rid of the White person,N/A,,
195,2,141,Require citizenship ID to vote. Declare all those who have entered our border illegally to be ineligible for citizenship. Those millions will not be allowed to participate in our election system.,N/A,,
196,2,115,Just another way of stealing an election.,N/A,,
197,2,128,"A republic, if you can keep it. Guess not, huh? The Dems made sure of that.",N/A,,
198,3,260,"Biden is puppet, Obama is puppet master.  Most countries require years of assimilation to become citizens and vote.  Obama wants Christian majority out of power, and open borders allow millions of aliens to force US to accommodate their agendas.  Obama will get Biden to appoint tens of thousands of (new) lawyers to work on backlog of asylum/deportation cases, ignoring fast track solution of Congress.  Obama will become the most powerful man in the US, heading an army of litigators controlling every aspect of society, so that border patrol or police/sheriffs feel as though they can do nothing without approval of lawyers.   Over time, Obama can receive funding from wealthy insurrectionists.  NYers, you are watching/living in a sci-fi story.",N/A,,
